snapshot_date,underlying,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,contracts_seen
2026-05-27,US.XOM,41594,19810,61404,0.6774,0.3226,0.4763,200
2026-05-27,US.XYF,0,0,0,0.0,0.0,0.0,0
2026-05-27,US.YINN,4675,1816,6491,0.7202,0.2798,0.3884,200
2026-05-28,US.AAPL,424620,124573,549193,0.7732,0.2268,0.2934,200
2026-05-28,US.ADSK,9753,7618,17371,0.5615,0.4385,0.7811,200
2026-05-28,US.AIFC,281,23,304,0.9243,0.0757,0.0819,78
2026-05-28,US.AMD,231704,81843,313547,0.739,0.261,0.3532,200
2026-05-28,US.AMZN,400438,84346,484784,0.826,0.174,0.2106,200
2026-05-28,US.APLD,80279,12031,92310,0.8697,0.1303,0.1499,200
2026-05-28,US.ASML,3987,2890,6877,0.5798,0.4202,0.7249,200
2026-05-28,US.ASX,10059,455,10514,0.9567,0.0433,0.0452,200
2026-05-28,US.AVGO,65939,24441,90380,0.7296,0.2704,0.3707,200
2026-05-28,US.BABA,68667,29345,98012,0.7006,0.2994,0.4274,200
2026-05-28,US.BBAI,258505,26301,284806,0.9077,0.0923,0.1017,200
2026-05-28,US.BMNR,94648,46522,141170,0.6705,0.3295,0.4915,200
2026-05-28,US.CBRS,16099,5674,21773,0.7394,0.2606,0.3524,200
2026-05-28,US.CLBT,458,148,606,0.7558,0.2442,0.3231,104
2026-05-28,US.COHR,5074,7414,12488,0.4063,0.5937,1.4612,200
2026-05-28,US.COIN,78514,53338,131852,0.5955,0.4045,0.6793,200
2026-05-28,US.CRCL,56463,16008,72471,0.7791,0.2209,0.2835,200
2026-05-28,US.CRM,81626,46216,127842,0.6385,0.3615,0.5662,200
2026-05-28,US.CRWD,11532,6795,18327,0.6292,0.3708,0.5892,200
2026-05-28,US.CRWV,115125,56190,171315,0.672,0.328,0.4881,200
2026-05-28,US.CVX,14043,6671,20714,0.6779,0.3221,0.475,200
2026-05-28,US.DDOG,7891,12577,20468,0.3855,0.6145,1.5938,200
2026-05-28,US.DELL,77091,38427,115518,0.6674,0.3326,0.4985,200
2026-05-28,US.DJT,19621,3126,22747,0.8626,0.1374,0.1593,200
2026-05-28,US.DUOL,2778,1111,3889,0.7143,0.2857,0.3999,200
2026-05-28,US.EWT,4217,1507,5724,0.7367,0.2633,0.3574,200
2026-05-28,US.FCX,42771,19868,62639,0.6828,0.3172,0.4645,200
2026-05-28,US.FICO,415,650,1065,0.3897,0.6103,1.5663,200
2026-05-28,US.GDS,1149,248,1397,0.8225,0.1775,0.2158,200
2026-05-28,US.GEMI,3731,844,4575,0.8155,0.1845,0.2262,200
2026-05-28,US.GEV,4757,8237,12994,0.3661,0.6339,1.7316,200
2026-05-28,US.GOOGL,106820,35247,142067,0.7519,0.2481,0.33,200
2026-05-28,US.GWRE,261,66,327,0.7982,0.2018,0.2529,200
2026-05-28,US.HOOD,519912,79590,599502,0.8672,0.1328,0.1531,200
2026-05-28,US.IBIT,213556,209775,423331,0.5045,0.4955,0.9823,200
2026-05-28,US.IBM,100602,5791,106393,0.9456,0.0544,0.0576,200
2026-05-28,US.IGV,58573,31714,90287,0.6487,0.3513,0.5414,200
2026-05-28,US.INTC,245847,83647,329494,0.7461,0.2539,0.3402,200
2026-05-28,US.INTU,5712,11923,17635,0.3239,0.6761,2.0874,200
2026-05-28,US.IREN,211460,117948,329408,0.6419,0.3581,0.5578,200
2026-05-28,US.IWM,185316,512269,697585,0.2657,0.7343,2.7643,200
2026-05-28,US.JD,50132,17544,67676,0.7408,0.2592,0.35,200
2026-05-28,US.KC,1604,27,1631,0.9834,0.0166,0.0168,140
2026-05-28,US.LI,4960,10631,15591,0.3181,0.6819,2.1433,200
2026-05-28,US.LITE,17984,8721,26705,0.6734,0.3266,0.4849,200
2026-05-28,US.MANH,47,66,113,0.4159,0.5841,1.4043,200
2026-05-28,US.MARA,110303,32766,143069,0.771,0.229,0.2971,200
2026-05-28,US.META,387311,47780,435091,0.8902,0.1098,0.1234,200
2026-05-28,US.MP,20844,4502,25346,0.8224,0.1776,0.216,200
2026-05-28,US.MRNA,9566,6790,16356,0.5849,0.4151,0.7098,200
2026-05-28,US.MRVL,192161,56894,249055,0.7716,0.2284,0.2961,200
2026-05-28,US.MSFT,803019,106237,909256,0.8832,0.1168,0.1323,200
2026-05-28,US.MSTR,384733,98623,483356,0.796,0.204,0.2563,200
2026-05-28,US.NBIS,86492,55349,141841,0.6098,0.3902,0.6399,200
2026-05-28,US.NET,22708,7479,30187,0.7522,0.2478,0.3294,200
2026-05-28,US.NOW,198078,32957,231035,0.8574,0.1426,0.1664,200
2026-05-28,US.NVDA,1458145,334866,1793011,0.8132,0.1868,0.2297,200
2026-05-28,US.OKLO,57820,12086,69906,0.8271,0.1729,0.209,200
2026-05-28,US.OPEN,207471,28812,236283,0.8781,0.1219,0.1389,200
2026-05-28,US.ORCL,360943,41747,402690,0.8963,0.1037,0.1157,200
2026-05-28,US.PANW,13695,6057,19752,0.6933,0.3067,0.4423,200
2026-05-28,US.PDD,77070,113771,190841,0.4038,0.5962,1.4762,200
2026-05-28,US.PLTR,585403,111267,696670,0.8403,0.1597,0.1901,200
2026-05-28,US.QCOM,96638,15543,112181,0.8614,0.1386,0.1608,200
2026-05-28,US.QQQ,489945,779035,1268980,0.3861,0.6139,1.59,200
2026-05-28,US.RBRK,9876,1030,10906,0.9056,0.0944,0.1043,200
2026-05-28,US.RDDT,44358,8656,53014,0.8367,0.1633,0.1951,200
2026-05-28,US.REMX,658,104,762,0.8635,0.1365,0.1581,200
2026-05-28,US.RXRX,77645,1657,79302,0.9791,0.0209,0.0213,200
2026-05-28,US.SAP,2193,901,3094,0.7088,0.2912,0.4109,200
2026-05-28,US.SBET,16754,4212,20966,0.7991,0.2009,0.2514,200
2026-05-28,US.SCO,0,0,0,0.0,0.0,0.0,200
2026-05-28,US.SMCI,445823,62516,508339,0.877,0.123,0.1402,200
2026-05-28,US.SNOW,201429,38262,239691,0.8404,0.1596,0.19,200
2026-05-28,US.SOFI,328357,85609,413966,0.7932,0.2068,0.2607,200
2026-05-28,US.SOUN,106869,15584,122453,0.8727,0.1273,0.1458,200
2026-05-28,US.SOXL,37607,22279,59886,0.628,0.372,0.5924,200
2026-05-28,US.SOXS,164253,30357,194610,0.844,0.156,0.1848,200
2026-05-28,US.SPY,670799,1387239,2058038,0.3259,0.6741,2.068,200
2026-05-28,US.SQQQ,43772,27119,70891,0.6175,0.3825,0.6196,200
2026-05-28,US.SVIX,5002,2761,7763,0.6443,0.3557,0.552,200
2026-05-28,US.TIGR,4865,18599,23464,0.2073,0.7927,3.823,200
2026-05-28,US.TMF,10934,6750,17684,0.6183,0.3817,0.6173,200
2026-05-28,US.TNA,12542,10238,22780,0.5506,0.4494,0.8163,200
2026-05-28,US.TSLA,920281,442484,1362765,0.6753,0.3247,0.4808,200
2026-05-28,US.TSM,50038,25057,75095,0.6663,0.3337,0.5008,200
2026-05-28,US.TWLO,2620,1714,4334,0.6045,0.3955,0.6542,200
2026-05-28,US.UPST,18359,11744,30103,0.6099,0.3901,0.6397,200
2026-05-28,US.UVXY,22871,5754,28625,0.799,0.201,0.2516,200
2026-05-28,US.VEEV,607,841,1448,0.4192,0.5808,1.3855,200
2026-05-28,US.VST,10489,4472,14961,0.7011,0.2989,0.4264,200
2026-05-28,US.WDAY,5720,2623,8343,0.6856,0.3144,0.4586,200
2026-05-28,US.XOM,19945,15079,35024,0.5695,0.4305,0.756,200
2026-05-28,US.XYF,0,0,0,0.0,0.0,0.0,0
2026-05-28,US.YINN,5791,4296,10087,0.5741,0.4259,0.7418,200
2026-05-29,US.AAPL,919506,153459,1072965,0.857,0.143,0.1669,200
2026-05-29,US.ADSK,4333,14494,18827,0.2301,0.7699,3.345,200
2026-05-29,US.AIFC,265,20,285,0.9298,0.0702,0.0755,78
2026-05-29,US.AMD,165130,99481,264611,0.624,0.376,0.6024,200
2026-05-29,US.AMZN,411306,85289,496595,0.8283,0.1717,0.2074,200
