snapshot_date,underlying,direction,score,reason,call_volume,put_volume,total_volume,call_share,put_share,put_call_ratio,direction_x_base,total_x_base,prior_direction,direction_share_base,reversal_bonus,history_days
2026-06-05,US.NET,CALL,34.78,CALL 占比 68%; CALL 较基线 0.5x; 总量较基线 0.5x,10690,4921,15611,0.6848,0.3152,0.4603,0.514,0.546,CALL,0.7152,,6
2026-06-05,US.DUOL,CALL,34.22,CALL 占比 65%; CALL 较基线 0.6x; 总量较基线 0.6x,2048,1103,3151,0.65,0.35,0.5386,0.571,0.609,CALL,0.6825,,6
2026-06-05,US.YINN,CALL,33.85,CALL 占比 51%; CALL 较基线 0.9x; 总量较基线 1.1x,4426,4217,8643,0.5121,0.4879,0.9528,0.865,1.074,CALL,0.6388,,6
2026-06-05,US.SBET,CALL,33.72,CALL 占比 51%; CALL 较基线 0.8x; 总量较基线 1.2x,14405,14022,28427,0.5067,0.4933,0.9734,0.811,1.161,CALL,0.7154,,6
2026-06-05,US.SNOW,CALL,33.59,CALL 占比 71%; CALL 较基线 0.4x; 总量较基线 0.4x,28516,11916,40432,0.7053,0.2947,0.4179,0.362,0.413,CALL,0.7716,,6
2026-06-05,US.PLTR,CALL,33.4,CALL 占比 70%; CALL 较基线 0.4x; 总量较基线 0.4x,179017,78522,257539,0.6951,0.3049,0.4386,0.374,0.435,CALL,0.7838,,6
2026-06-05,US.XOM,CALL,32.79,CALL 占比 61%; CALL 较基线 0.6x; 总量较基线 0.7x,17017,11101,28118,0.6052,0.3948,0.6523,0.582,0.654,CALL,0.6553,,6
2026-06-05,US.GFS,CALL,32.62,CALL 占比 64%; CALL 较基线 0.4x; 总量较基线 0.6x,7226,3982,11208,0.6447,0.3553,0.5511,0.429,0.566,CALL,0.8152,,3
2026-06-05,US.AMD,CALL,32.4,CALL 占比 52%; CALL 较基线 0.7x; 总量较基线 1.0x,109403,101355,210758,0.5191,0.4809,0.9264,0.723,0.975,CALL,0.7006,,6
2026-06-05,US.TSLA,CALL,32.38,CALL 占比 62%; CALL 较基线 0.5x; 总量较基线 0.6x,501207,306471,807678,0.6206,0.3794,0.6115,0.52,0.567,CALL,0.6788,,6
2026-06-05,US.TEAM,CALL,32.36,CALL 占比 63%; CALL 较基线 0.5x; 总量较基线 0.6x,4414,2624,7038,0.6272,0.3728,0.5945,0.47,0.585,CALL,0.7717,,4
2026-06-05,US.NBIS,CALL,32.21,CALL 占比 51%; CALL 较基线 0.8x; 总量较基线 1.0x,53217,51472,104689,0.5083,0.4917,0.9672,0.76,0.967,CALL,0.6377,,6
2026-06-05,US.TIGR,CALL,32.14,CALL 占比 73%; CALL 较基线 0.3x; 总量较基线 0.1x,2717,1014,3731,0.7282,0.2718,0.3732,0.279,0.13,PUT,0.4325,,6
2026-06-05,US.ORCL,CALL,32.01,CALL 占比 67%; CALL 较基线 0.3x; 总量较基线 0.4x,100587,49135,149722,0.6718,0.3282,0.4885,0.327,0.42,CALL,0.8289,,6
2026-06-05,US.IBM,CALL,31.94,CALL 占比 68%; CALL 较基线 0.3x; 总量较基线 0.4x,35617,16841,52458,0.679,0.321,0.4728,0.305,0.391,CALL,0.8524,,6
2026-06-05,US.CRWV,CALL,31.49,CALL 占比 56%; CALL 较基线 0.5x; 总量较基线 0.8x,85371,66254,151625,0.563,0.437,0.7761,0.54,0.775,CALL,0.7723,,6
2026-06-05,US.WDAY,PUT,30.83,PUT 占比 51%; PUT 较基线 0.9x; 总量较基线 0.5x,3194,3388,6582,0.4853,0.5147,1.0607,0.888,0.522,CALL,0.3232,,6
2026-06-05,US.AEHR,CALL,30.82,CALL 占比 56%; CALL 较基线 0.6x; 总量较基线 0.6x,2452,1913,4365,0.5617,0.4383,0.7802,0.564,0.64,CALL,0.6034,,3
2026-06-05,US.CRM,CALL,30.45,CALL 占比 64%; CALL 较基线 0.3x; 总量较基线 0.4x,31656,18068,49724,0.6366,0.3634,0.5708,0.323,0.4,CALL,0.7412,,6
2026-06-05,US.UPST,CALL,30.33,CALL 占比 56%; CALL 较基线 0.5x; 总量较基线 0.7x,7811,6213,14024,0.557,0.443,0.7954,0.518,0.651,CALL,0.7027,,6
2026-06-05,US.META,CALL,29.78,CALL 占比 57%; CALL 较基线 0.4x; 总量较基线 0.6x,140182,106824,247006,0.5675,0.4325,0.762,0.417,0.623,CALL,0.8508,,6
2026-06-05,US.CRWD,PUT,29.65,PUT 占比 51%; PUT 较基线 0.8x; 总量较基线 0.5x,7313,7511,14824,0.4933,0.5067,1.0271,0.771,0.535,CALL,0.3378,,6
2026-06-05,US.DELL,PUT,28.62,PUT 占比 54%; PUT 较基线 0.6x; 总量较基线 0.3x,15819,18777,34596,0.4572,0.5428,1.187,0.628,0.314,CALL,0.3249,,6
2026-06-05,US.DDOG,CALL,28.36,CALL 占比 52%; CALL 较基线 0.5x; 总量较基线 0.6x,7239,6727,13966,0.5183,0.4817,0.9293,0.526,0.569,CALL,0.5459,,6
2026-06-05,US.NOW,CALL,28.12,CALL 占比 58%; CALL 较基线 0.3x; 总量较基线 0.4x,59592,43992,103584,0.5753,0.4247,0.7382,0.305,0.444,CALL,0.8284,,6
2026-06-05,US.PANW,CALL,28.01,CALL 占比 60%; CALL 较基线 0.3x; 总量较基线 0.3x,11112,7378,18490,0.601,0.399,0.664,0.273,0.298,CALL,0.649,,6
2026-06-05,US.QCOM,CALL,27.42,CALL 占比 52%; CALL 较基线 0.4x; 总量较基线 0.6x,40263,37231,77494,0.5196,0.4804,0.9247,0.37,0.613,CALL,0.8428,,6
